,Ticker,Score Final,Recomendación,% Subida a Máx,Crecimiento Futuro,País,Semáforo Riesgo,Contexto Global,Proyección 12M (%),Score Numérico Total,Fuente,Mínimo,Máximo,Actual,Forward EPS,Forward Revenue Growth,Margen Futuro,Sector,Tipo,PEG Ratio,P/E Ratio,P/B Ratio,ROE,ROIC,FCF Yield,Debt/Equity,EV/EBITDA,Dividend Yield,Beta,Revenue Growth YoY,Contexto,VIX,Riesgo País,Cobertura,Target Base 12M,Target Alcista 12M,Target Conservador,Justificación Score,Advertencia
1,NVDA,⭐⭐⭐ (3/5 - Aceptable),🙀 Revisar,13.81,🟢 Alto,usa,ROJO,Contexto Global: MODERADO,-43.51,8,Yahoo Finance,0.2,149.42,131.29,4.12,77.9,,Technology,Acción,0.56,44.65646,40.5091,1.1917701,0.57417,1.38,12.946,38.054,0.03,2.114,0.779,"Nvidia Corporation, una compañía de infraestructura informática, proporciona gráficos y soluciones de computar y redes en los Estados Unidos, Singapur, Taiwán, China, Hong Kong e internacionalmente. El segmento de compute y redes comprende plataformas informáticas de centros de datos y plataformas de red de extremo a extremo, incluida la cantidad para infiniband y espectro para Ethernet; Nvidia Drive Platform de conducción automatizada y acuerdos de desarrollo automotriz; Jetson Robotics y otras plataformas integradas; Nvidia AI Enterprise y otro software; y DGX Cloud Software and Services. El segmento de gráficos ofrece GPU de GeForce para juegos y PC, el servicio de transmisión de juegos GeForce Now e infraestructura relacionada, y soluciones para plataformas de juegos; GPU de quadro/nvidia RTX para gráficos de estación de trabajo empresarial; GPU virtual o software VGPU para computación visual y virtual basada en la nube; plataformas automotrices para sistemas de información y entretenimiento; y software Omniverse para la construcción y operación de aplicaciones de gemelo digital IA y IA digital. También personalizó soluciones de agente diseñadas en colaboración con NVIDIA para acelerar la adopción de IA Enterprise. Los productos de la compañía se utilizan en juegos, visualización profesional, centro de datos y mercados automotrices. Venta sus productos a fabricantes de equipos originales, fabricantes de dispositivos originales, integradores y distribuidores de sistemas, proveedores de software independientes, proveedores de servicios en la nube, compañías de Internet de consumo, fabricantes de tableros de tableros, distribuidores, fabricantes de automóviles y proveedores automotrices de nivel 1 y otros participantes en el ecosistema. Nvidia Corporation se incorporó en 1993 y tiene su sede en Santa Clara, California.",22.29,50,8/8,74.16,103,49.44,"ROE > 10%,ROIC > 8%,PEG Ratio razonable,FCF positivo,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Contexto global favorable (+1)",
43,V,⭐⭐ (2/5 - Riesgoso),❌ Evitar,4.06,🟡 Moderado,usa,VERDE,Contexto Global: MODERADO,-35.54,6,Yahoo Finance,14.72,367.9,353.54,12.66,9.3,,Financial Services,Acción,,35.60322,17.854654,0.50655,0.16936001,2.18,54.594,25.54,0.67,0.955,0.093,"Visa Inc. opera como una empresa de tecnología de pago en los Estados Unidos e internacionalmente. La compañía opera Visanet, una red de procesamiento de transacciones que permite la autorización, la compensación y la liquidación de transacciones de pago. También ofrece productos de crédito, débito y tarjetas prepagas; Toque para pagar, tokenización y haga clic para pagar los servicios; Visa directa, una solución que facilita la entrega de fondos a tarjetas elegibles, cuentas bancarias y billeteras digitales; Visa B2B Connect, una red multilateral de pagos transfronterizos de empresa a empresa; Solución transfronteriza de visa, una solución transfronteriza de pagos del consumidor; y VISA DPS que proporciona una gama de servicios de valor agregado, que incluyen mitigación de fraude, gestión de disputas, análisis de datos, gestión de campañas, un conjunto de soluciones digitales y servicios de centro de contacto. La compañía también proporciona soluciones de aceptación, que incluyen cybersource y autorize.net que proporciona integraciones de pago nuevas y mejoradas con plataformas de comercio electrónico, lo que permite a los vendedores y adquirentes ofrecer experiencias de comercio personalizadas; Soluciones de riesgo e identidad, como la autorización avanzada de visa, el servicio de autenticación del consumidor de visas, la visa, la inteligencia de la autenticación de la visa e inteligencia de aprovisionamiento de visas; y Visa Consulting and Analytics, un servicio de asesoría de consultoría de pago. Proporciona sus servicios bajo las marcas Visa, Electron de Visa, Interlink, V Pay y Plus. La compañía sirve comerciantes, instituciones financieras y entidades gubernamentales. Visa Inc. fue fundada en 1958 y tiene su sede en San Francisco, California.",22.29,50,7/8,227.88,316.5,151.92,"Beta <= 1,ROE > 10%,ROIC > 8%,FCF positivo,Dividendo > 2%,EPS futuro positivo,Penalización sectorial por usa/financial services (-1),Contexto global favorable (+1)",
40,SUPV,⭐⭐ (2/5 - Riesgoso),❌ Evitar,93.16,🔴 Bajo,argentina,AMARILLO,Contexto Global: ADVERSO,28.41,4,Yahoo Finance,1.22,30.33,15.7,1.12,-21.6,,Financial Services,Acción,,15.096154,0.008354397,0.15952,0.02779,,,,1.07,1.036,-0.216,"Grupo Supervielle S.A., una compañía tenedora de servicios financieros, ofrece varios productos y servicios bancarios en Argentina. La compañía opera a través de banca personal y comercial, banca corporativa, tesorería bancaria, seguros y gestión de activos y otros segmentos de servicios. Ofrece cuentas de ahorro, depósitos de tiempo y demanda, y cuentas corrientes; varios productos de préstamos, incluidos préstamos personales, de consumo, hipotecarios, no garantizados y automovilísticos; sobregiros; préstamos con instalaciones especiales para proyectos y financiamiento de capital de trabajo; y arrendamiento, garantías bancarias para inquilinos, avances salariales, factorización nacional e internacional, garantías internacionales y cartas de crédito, planes de pago de nómina, tarjetas de crédito y débito, y los servicios de pago de beneficios de los ciudadanos para personas mayores, así como servicios e inversiones financieras, como fondos y garantías mutuas. La compañía también ofrece comercio exterior y gestión de efectivo; servicios de asesoramiento; Servicios del Tesoro; Productos de seguro que comprenden vida, hogar, accidentes personales, tecnología, cajeros automáticos, bolsas protegidas, contenido protegido y productos de seguro integrales para empresarios y clientes de PYME y otras pólizas de seguro; y la gestión de activos y otros servicios, así como opera como un corredor digital en línea. Opera a través de una red de sucursales bancarios, cajeros automáticos y terminales de autoservicio, así como dispensadores de efectivo con sistemas de identificación biométrica. La compañía fue conocida anteriormente como Inversiones y participaciones S.A. y cambió su nombre a Grupo Supervielle S.A. en noviembre de 2008. Grupo Supervielle S.A. se fundó en 1887 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,6/8,20.16,28,13.44,"ROE > 10%,P/E < 20,P/B < 3,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro negativo,Penalización sectorial por argentina/financial services (-1)",
42,GGAL,⭐⭐ (2/5 - Riesgoso),❌ Evitar,14.89,🔴 Bajo,argentina,AMARILLO,Contexto Global: ADVERSO,103.88,4,Yahoo Finance,3.25,72.22,62.86,7.12,-45.7,,Financial Services,Acción,0.04,6.602941,0.01646781,0.31073,0.05933,,,,4.18,1.043,-0.457,"Grupo Financiero Galicia S.A., una compañía de holding de servicios financieros, ofrece varios productos y servicios financieros a individuos y empresas en Argentina. La compañía opera a través de los segmentos de Bank, Naranja X, Insurance y otros negocios. Ofrece ahorros, verificaciones y depósitos de tiempo; préstamos personales; préstamos expresos e hipotecarios; sobregiros; préstamos de compromiso y tarjetas de crédito; Tarjetas de crédito y débito; y servicios bancarios en línea. Además, la compañía ofrece productos financieros; fondos mutuos; Servicios de gestión de activos; Servicios de finanzas del consumidor y banca digital; cheque electrónico; Servicios de custodia global; Fondos FIMA; servicios de comercio exterior; y el mercado de capitales y los productos de banca de inversión. Además, proporciona robo, accidente personal, automóviles, vida, hogar, vida, pymes integrales, accidentes personales y otros productos de seguros; soluciones de pago; y productos financieros y de corretaje. Además, la compañía ofrece servicios de banca privada a personas de alto patrimonio neto; y opera la plataforma de inversión digital. Grupo Financiero Galicia S.A. se fundó en 1905 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,7/8,128.16,178,85.44,"ROE > 10%,PEG Ratio razonable,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro negativo,Penalización sectorial por argentina/financial services (-1)",
48,WFC,⭐⭐ (2/5 - Riesgoso),❌ Evitar,10.64,🔴 Bajo,usa,AMARILLO,Contexto Global: MODERADO,35.69,4,Yahoo Finance,15.56,80.58,72.83,5.49,-3.5999999999999996,,Financial Services,Acción,2.18,13.098922,1.4620095,0.11021,0.01031,,,,2.2,1.123,-0.036,"Wells Fargo & Company, una compañía de servicios financieros, ofrece productos y servicios de financiamiento comercial y de banca diversificada en los Estados Unidos e internacionalmente. Funciona a través de cuatro segmentos: banca y préstamos de consumo; Banca comercial; Banca corporativa y de inversión; y gestión de riqueza e inversiones. El segmento de banca y préstamo de consumo ofrece productos y servicios financieros diversificados para consumidores y pequeñas empresas. Sus productos y servicios financieros incluyen cuentas corrientes y de ahorro, y tarjetas de crédito y débito, así como servicios de préstamos para el hogar, el automóvil, personal y las pequeñas empresas. El segmento de banca comercial ofrece soluciones financieras a empresas privadas, de propiedad familiar y ciertas. Sus productos y servicios incluyen productos bancarios y de crédito en varios sectores y municipios de la industria, productos de préstamos y arrendamiento garantizados, y servicios de gestión del tesoro. El segmento de banca corporativa y de inversión ofrece un conjunto de mercados de capitales, banca y productos y servicios financieros, como banca corporativa, banca de inversión, gestión de tesorería, préstamos y servicios inmobiliarios comerciales de bienes raíces, capital y soluciones de ingresos fijos, así como servicios de ventas, comerciales y capacidades de investigación a clientes inmobiliarios, bienes raíces comerciales, gobierno y clientes institucionales. El segmento de gestión de riqueza e inversiones proporciona gestión de patrimonio personalizada, corretaje, planificación financiera, préstamos, banca privada y productos y servicios fiduciarios y fiduciarios a clientes ricos, de alto nivel y ultra altura de los clientes. También opera a través de asesores financieros en oficinas de corretaje y riqueza, sucursales de los bancos de consumo, oficinas independientes y digitalmente a través de un inversionista bueno e intuitivo. Wells Fargo & Company fue fundada en 1852 y tiene su sede en San Francisco, California.",22.29,50,7/8,98.82,137.25,65.88,"ROE > 10%,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro negativo,Penalización sectorial por usa/financial services (-1),Contexto global favorable (+1)",
44,MA,⭐⭐ (2/5 - Riesgoso),❌ Evitar,4.05,🟡 Moderado,usa,AMARILLO,Contexto Global: MODERADO,-47.68,6,Yahoo Finance,17.73,586.41,563.58,16.38,14.2,,Financial Services,Acción,4.44,39.52174,76.87628,1.8770399,0.23363,2.82,280.795,29.074,0.54,1.061,0.142,"MasterCard Incorporated, una compañía de tecnología, proporciona procesamiento de transacciones y otros productos y servicios relacionados con el pago en los Estados Unidos e internacionalmente. La compañía ofrece productos integrados y servicios de valor agregado para titulares de cuentas, comerciantes, instituciones financieras, socios digitales, empresas, gobiernos y otras organizaciones, como programas que permiten a los emisores proporcionar a los consumidores créditos para diferir los pagos; productos y soluciones de pago que permiten a sus clientes acceder a fondos en depósito y otras cuentas; Servicios de programas prepagos; Servicios de pago de facturas de consumo; y productos y soluciones de pago de crédito, débito y pago prepagos. También proporciona soluciones que permiten a las empresas o gobiernos realizar pagos a las empresas, incluido el número de tarjeta virtual, que se genera dinámicamente a partir de una tarjeta física y aprovecha el límite de crédito de la cuenta de financiación; y una plataforma para optimizar las campañas de habilitación de pagos de proveedores para instituciones financieras. Además, la compañía ofrece MasterCard Move, que se asocia con mensajes digitales y plataformas de pago para permitir a los consumidores enviar dinero directamente dentro de las aplicaciones a otros consumidores; y se asocia con bancos centrales, fintechs e instituciones financieras para ayudar a los gobiernos y organizaciones sin fines de lucro, así como permitir varios flujos de pago transfronterizos. Además, proporciona soluciones de seguridad; personalización, lealtad de emisores y comerciantes y servicios de marketing; Análisis avanzado, inteligencia empresarial, información económica y basada en la ubicación, consultoría de pagos y servicios de información operativa; soluciones de procesamiento y puerta de enlace; y servicios bancarios abiertos. La compañía ofrece soluciones y servicios de pago bajo los nombres de MasterCard, Maestro y Cirrus. MasterCard Incorporated fue fundada en 1966 y tiene su sede en la compra, Nueva York.",22.29,50,8/8,294.84,409.5,196.56,"ROE > 10%,ROIC > 8%,FCF positivo,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro > 10%,Penalización sectorial por usa/financial services (-1),Contexto global favorable (+1)",
45,JPM,⭐⭐ (2/5 - Riesgoso),❌ Evitar,6.72,🔴 Bajo,usa,AMARILLO,Contexto Global: MODERADO,15.58,6,Yahoo Finance,19.58,278.24,260.71,16.74,4.8,,Financial Services,Acción,1.41,12.78617,2.1864674,0.17352,0.01413,,,,2.15,1.068,0.048,"JPMorgan Chase & Co. opera como una empresa de servicios financieros en todo el mundo. Opera a través de tres segmentos: Banca de Consumidores y Comunitarios, Banco Comercial e de Inversión, y Gestión de Activos y Patrimonio. La compañía ofrece depósitos, productos de inversión y préstamo, gestión de efectivo y pagos y servicios; Originación de hipoteca y actividades de servicio; hipotecas residenciales y préstamos de equidad en el hogar; y tarjetas de crédito, préstamos para automóviles, arrendamientos y servicios de viajes a consumidores y pequeñas empresas a través de sucursales bancarios, cajeros automáticos y banca digital y telefónica. También proporciona productos y servicios de banca de inversión, incluida la estrategia corporativa y el asesoramiento de la estructura, y los servicios de recaudación de capital de mercado de capital y deuda, así como el origen y la sindicación de préstamos; pagos; e Instrumentos en efectivo e derivados, soluciones de gestión de riesgos, corretaje principal e investigación, así como ofrece servicios de valores, incluidos custodia, servicios de fondos, liquidez y servicios de comercio y productos de soluciones de datos. Además, la compañía proporciona soluciones financieras, incluidos préstamos, pagos, banca de inversión y gestión de activos a pequeñas y medianas empresas, gobiernos locales, clientes sin fines de lucro y municipios, así como clientes inmobiliarios comerciales. Además, ofrece soluciones de gestión de inversiones múltiples en acciones, ingresos fijos, alternativas y fondos del mercado monetario a clientes institucionales e inversores minoristas; y productos y servicios de jubilación, corretaje, custodia, planificación patrimonial, préstamos, depósitos y productos de gestión de inversiones a clientes de alto patrimonio neto. La compañía fue fundada en 1799 y tiene su sede en Nueva York, Nueva York.",22.29,50,7/8,301.32,418.5,200.88,"ROE > 10%,PEG Ratio razonable,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Penalización sectorial por usa/financial services (-1),Contexto global favorable (+1)",
59,NEE,⭐⭐ (2/5 - Riesgoso),❌ Evitar,26.44,🟡 Moderado,usa,VERDE,Contexto Global: MODERADO,-2.24,5,Yahoo Finance,7.31,85.68,67.76,3.68,9,,Utilities,Acción,,25.378277,2.800347,0.07056,0.02548,-8.13,148.557,17.479,3.34,0.684,0.09,"Nextera Energy, Inc., a través de sus subsidiarias, genera, transmite, distribuye y vende energía eléctrica a clientes minoristas y mayoristas en América del Norte. La compañía genera electricidad a través de eólicos, solares, nuclear, gas natural y otras energía limpia. También desarrolla, construye y opera activos contratados a largo plazo que consisten en soluciones de energía limpia, como instalaciones de generación renovable, instalaciones de almacenamiento de baterías e instalaciones de transmisión eléctrica; vende productos energéticos; y posee, desarrolla, construye, administra y opera instalaciones de generación eléctrica en los mercados de energía mayoristas. La compañía tenía aproximadamente 35,052 megavatios de capacidad de generación neta; aproximadamente 91,000 millas de circuito de líneas de transmisión y distribución; y 921 subestaciones. Sirve a aproximadamente 12 millones de personas a través de aproximadamente 6 millones de cuentas de clientes en las costas este y bajas de Florida. La compañía fue conocida anteriormente como FPL Group, Inc. y cambió su nombre a Nextera Energy, Inc. en 2010. Nextera Energy, Inc. fue fundada en 1925 y tiene su sede en Juno Beach, Florida.",22.29,50,7/8,66.24,92,44.16,"Beta <= 1,P/B < 3,Dividendo > 2%,EPS futuro positivo,Contexto global favorable (+1)",
46,BAC,⭐⭐ (2/5 - Riesgoso),❌ Evitar,9.82,🟡 Moderado,usa,AMARILLO,Contexto Global: MODERADO,52.5,5,Yahoo Finance,3.97,47.44,43.2,3.66,5.7,,Financial Services,Acción,1.19,12.895523,1.1872698,0.094560005,0.00841,,,,2.41,1.28,0.057,"Bank of America Corporation, a través de sus subsidiarias, ofrece diversos productos y servicios financieros para consumidores individuales, pequeñas empresas de mercado medio, inversores institucionales, grandes corporaciones y gobiernos en todo el mundo. La compañía opera a través de cuatro segmentos: banca del consumidor, gestión global de riqueza e inversiones (GWIM), banca global y mercados globales. El segmento de banca de consumo ofrece cuentas de ahorro de mercado tradicional y monetario, certificados de depósito e IRA, cuentas corrientes y cuentas y productos de inversión; Tarjetas de crédito y débito; hipotecas residenciales y préstamos de equidad en el hogar; y préstamos directos e indirectos, como los préstamos automotrices, de vehículos recreativos y de consumo. El segmento GWIM proporciona gestión de inversiones, corretaje, banca y productos y servicios de confianza y jubilación; soluciones de gestión de patrimonio; y soluciones personalizadas, incluidos los servicios de gestión de activos especializados. El segmento bancario global ofrece productos y servicios de préstamos, incluidos préstamos comerciales, arrendamientos, instalaciones de compromiso, finanzas comerciales y bienes raíces comerciales y préstamos basados ​​en activos; soluciones del Tesoro, como la gestión del tesoro, las divisas, las opciones de inversión a corto plazo y los servicios comerciales; Soluciones de gestión de capital de trabajo; suscripción y distribución de deudas y capital, y servicios de asesoramiento relacionados con la fusión y otros servicios; y servicios de investigación de renta fija y de capital. El segmento de los mercados globales proporciona servicios de mercado, financiamiento, compensación de valores, liquidación y custodia; valores y productos derivados; y productos de gestión de riesgos utilizando tasa de interés, capital, crédito, crédito y derivados de productos básicos, cambio de divisas, ingresos fijos y productos relacionados con la hipoteca. Bank of America Corporation fue fundada en 1784 y tiene su sede en Charlotte, Carolina del Norte.",22.29,50,7/8,65.88,91.5,43.92,"PEG Ratio razonable,P/E < 20,P/B < 3,Dividendo > 2%,EPS futuro positivo,Penalización sectorial por usa/financial services (-1),Contexto global favorable (+1)",
51,SOFI,⭐⭐ (2/5 - Riesgoso),❌ Evitar,96.94,🟢 Alto,usa,ROJO,Contexto Global: MODERADO,-60.12,4,Yahoo Finance,4.3,25.78,13.09,0.29,20.1,,Financial Services,Acción,,30.44186,2.163994,0.07513,0.01395,,49.144,,,1.855,0.201,"Sofi Technologies, Inc. proporciona varios servicios financieros en los Estados Unidos, América Latina, Canadá y Hong Kong. Opera a través de tres segmentos: préstamos, plataforma de tecnología y servicios financieros. La compañía ofrece servicios y productos financieros y de préstamos que permiten a sus miembros pedir prestado, ahorrar, gastar, invertir y proteger el dinero; y préstamos personales, préstamos estudiantiles, préstamos para el hogar y servicios relacionados. La compañía también opera Galileo, una plataforma tecnológica que ofrece servicios a instituciones financieras y no financieras; y Technisys, una plataforma bancaria digital y nativa nativa de la nube que proporciona licencias de software y servicios asociados, incluida la implementación y el mantenimiento. Además, proporciona cuentas de Sofi Money Offling and Savings, y productos de gestión de efectivo; y Sofi Invest, una plataforma de inversión móvil primero que ofrece acceso a soluciones comerciales y de asesoramiento, como inversión y robo-advisoría. Además, la compañía ofrece una tarjeta de crédito SOFI que proporciona recompensas de reembolso en efectivo en cada compra; Sofi Relay, un producto de gestión de finanzas personales que permite rastrear todas sus cuentas financieras que comprenden puntaje de crédito y comportamientos de gasto; Sofi protege que ofrece productos de seguro; Sofi Travel, una aplicación que administra la experiencia de búsqueda y reserva de viajes; SOFI en el trabajo proporciona beneficios financieros a los empleados, incluidos los pagos de préstamos estudiantiles realizados en nombre de sus empleados; Lantern Credit, una plataforma de mercado de servicios financieros para buscar productos alternativos y proporcionar comparaciones de productos; y otros préstamos como un servicio que ofrece referencias de prestatario precalificadas y ofrece préstamos a un socio de terceros. La compañía fue fundada en 2011 y tiene su sede en San Francisco, California.",22.29,50,6/8,5.22,7.25,3.48,"P/B < 3,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%,Penalización sectorial por usa/financial services (-1),Contexto global favorable (+1)",
58,VWS.CO,⭐⭐ (2/5 - Riesgoso),❌ Evitar,203.36,🟢 Alto,denmark,AMARILLO,Contexto Global: MODERADO,-94.67,6,Yahoo Finance,4.33,307.45,101.35,0.3,29.4,,Industrials,Acción,,24.246412,30.536306,0.17857,0.021440001,1.8,99.019,81.887,0.54,1.345,0.294,"Vestas Wind Systems A/S se involucra en el diseño, fabricación, instalación y servicios de turbinas eólicas en los Estados Unidos, Dinamarca e internacionalmente. Funciona a través de dos segmentos, soluciones de energía y servicio. El segmento de Power Solutions ofrece plantas de energía eólica en tierra y en alta mar, turbinas eólicas, sitios de desarrollo, etc. El segmento de servicio se dedica a la venta de contratos de servicio, repuestos y actividades relacionadas. La compañía fue fundada en 1898 y tiene su sede en Aarhus, Dinamarca.",22.29,400,7/8,5.4,7.5,3.6,"ROE > 10%,FCF positivo,Dividendo > 2%,Potencial subida > 40%,EPS futuro positivo,Crecimiento futuro > 10%,Penalización sectorial por denmark/industrials (-1),Contexto global favorable (+1)",
39,HARG.BA,⭐⭐ (2/5 - Riesgoso),❌ Evitar,30.13,🔴 Bajo,argentina,VERDE,Contexto Global: ADVERSO,-74.62,4,Yahoo Finance,0.91,2440,1875,26.44,-18.5,,Basic Materials,Acción,,28.089888,1.4542301,0.09012,0.01638,-4.34,1.006,12.204,4.52,0.621,-0.185,"Holcim (Argentina) S.A. opera en la industria de materiales de construcción en Argentina. La compañía se involucra en la producción de agregados de cemento, concreto y piedra. También ofrece limas, aglutinantes hidráulicos, colas y productos de impermeabilización, así como de yesqueros. La compañía fue fundada en 1930 y tiene su sede en Córdoba, Argentina. Holcim (Argentina) S.A. es una subsidiaria de Holcim Investments (España) SL.",22.29,1450,7/8,475.92,661,317.28,"Beta <= 1,EV/EBITDA < 15,P/B < 3,Dividendo > 2%,EPS futuro positivo,Crecimiento futuro negativo",
0,PLTR,⭐⭐ (2/5 - Riesgoso),❌ Evitar,5.57,🟢 Alto,usa,ROJO,Contexto Global: MODERADO,-93.14,5,Yahoo Finance,6,130.18,123.31,0.47,39.300000000000004,,Technology,Acción,5.22,536.13043,53.63636,0.12357,0.043920003,0.32,4.432,656.748,,2.684,0.393,"Palantir Technologies Inc. construye y implementa plataformas de software para la comunidad de inteligencia para ayudar en investigaciones y operaciones antiterroristas en los Estados Unidos, el Reino Unido e internacionalmente. Proporciona Palantir Gotham, una plataforma de software, que permite a los usuarios identificar patrones ocultos en lo profundo de los conjuntos de datos, desde señales fuentes de inteligencia hasta informes de informantes confidenciales, así como facilita la transmisión entre analistas y usuarios operativos, ayudando a los operadores a planificar y ejecutar respuestas del mundo real a amenazas que se han identificado dentro de la plataforma. La compañía también ofrece Palantir Foundry, una plataforma que transforma las formas en que las organizaciones operan mediante la creación de un sistema operativo central para sus datos; y permite a los usuarios individuales integrar y analizar los datos que necesitan en un solo lugar. Además, proporciona Palantir Apollo, un software que ofrece software y actualizaciones en todo el negocio, así como permite a los clientes implementar su software virtualmente en cualquier entorno; y plataforma de inteligencia artificial Palantir que proporciona acceso unificado a modelos de idiomas grandes (LLM) comerciales de código abierto, autohospedados y comerciales que pueden transformar datos estructurados y no estructurados en objetos y procesos de organizaciones de LLM y pueden convertir las acciones y procesos de las organizaciones en herramientas para humanos y agentes basados ​​en LLM. La compañía se incorporó en 2003 y tiene su sede en Denver, Colorado.",22.29,50,8/8,8.46,11.75,5.64,"ROE > 10%,PEG Ratio razonable,FCF positivo,EPS futuro positivo,Crecimiento futuro > 10%,P/E > 60 (penaliza),Contexto global favorable (+1)",
37,CTIO.BA,⭐⭐ (2/5 - Riesgoso),❌ Evitar,62.38,🟢 Alto,argentina,VERDE,Contexto Global: ADVERSO,,4,Yahoo Finance,1.76,2719.92,1675,,52.5,,Real Estate,Acción,,87.696335,1.0043983,-0.08574,0.00459,8.09,0,48.07,3.41,0.195,0.525,"Consulta S.A. se involucra en el negocio de desarrollo inmobiliario e inversión en Argentina e internacionalmente. Está involucrado en el desarrollo de urbanizaciones; edificios residenciales para la venta; y torres corporativas. La compañía fue incorporada en 1981 y tiene su sede en Buenos Aires, Argentina.",22.29,1450,7/8,,,,"Beta <= 1,FCF positivo,FCF > 5%,P/B < 3,Dividendo > 2%,Potencial subida > 40%,Crecimiento futuro > 10%,P/E > 60 (penaliza),ROE negativo,Penalización sectorial por argentina/real estate (-1),Sin proyección por EPS negativo o datos inválidos",
28,AMZN,⭐⭐ (2/5 - Riesgoso),❌ Evitar,20.43,🟡 Moderado,usa,AMARILLO,Contexto Global: MODERADO,-44.92,5,Yahoo Finance,5.43,242.06,200.99,6.15,8.6,,Consumer Cyclical,Acción,0.51,32.78793,6.9739766,0.2524,0.07632,1.84,51.641,17.418,,1.308,0.086,"Amazon.com, Inc. se involucra en la venta minorista de productos de consumo, publicidad y servicio de suscripciones a través de tiendas en línea y físicas en América del Norte e internacionalmente. La compañía opera a través de tres segmentos: North America, International y Amazon Web Services (AWS). También fabrica y vende dispositivos electrónicos, incluyendo Kindle, tabletas de fuego, televisores de fuego, eco, anillo, parpadeo y eero; y desarrolla y produce contenido de medios. Además, la compañía ofrece programas que permiten a los vendedores vender sus productos en sus tiendas; y programas que permiten a los autores, editores independientes, músicos, cineastas, streamers de twitch, desarrolladores de habilidades y aplicaciones, y otros publicar y vender contenido. Además, proporciona cómputo, almacenamiento, base de datos, análisis, aprendizaje automático y otros servicios, así como servicios de publicidad a través de programas, como anuncios patrocinados, exhibición y publicidad de video. Además, la compañía ofrece Amazon Prime, un programa de membresía. Los productos de la compañía ofrecidos a través de sus tiendas incluyen mercancías y contenido comprado para reventa y productos ofrecidos por vendedores externos. Sirve a consumidores, vendedores, desarrolladores, empresas, creadores de contenido, anunciantes y empleados. Amazon.com, Inc. se incorporó en 1994 y tiene su sede en Seattle, Washington.",22.29,50,8/8,110.7,153.75,73.8,"ROE > 10%,PEG Ratio razonable,FCF positivo,EPS futuro positivo,Contexto global favorable (+1)",
4,AAPL,⭐⭐ (2/5 - Riesgoso),❌ Evitar,32.33,🟡 Moderado,usa,AMARILLO,Contexto Global: MODERADO,-23.4,6,Yahoo Finance,5.77,258.4,195.27,8.31,5.1,,Technology,Acción,6.34,30.415888,43.674793,1.38015,0.23809999,3.33,146.994,21.36,0.53,1.275,0.051,"Apple Inc. diseña, fabrica y comercializa teléfonos inteligentes, computadoras personales, tabletas, wearables y accesorios en todo el mundo. La compañía ofrece iPhone, una línea de teléfonos inteligentes; Mac, una línea de computadoras personales; iPad, una línea de tabletas multipropósito; y wearables, hogar y accesorios que comprenden AirPods, Apple TV, Apple Watch, Beats Products y HomePod. También proporciona soporte de Applecare y servicios en la nube; y opera varias plataformas, incluida la App Store que permite a los clientes descubrir y descargar aplicaciones y contenido digital, como libros, música, videos, juegos y podcasts, así como los servicios de publicidad incluyen arreglos de licencias de terceros y sus propias plataformas de publicidad. Además, la compañía ofrece varios servicios basados ​​en suscripción, como Apple Arcade, un servicio de suscripción de juegos; Apple Fitness+, un servicio de fitness personalizado; Apple Music, que ofrece a los usuarios una experiencia auditiva curada con estaciones de radio a pedido; Apple News+, un servicio de noticias y revistas de suscripción; Apple TV+, que ofrece contenido original exclusivo; Apple Card, una tarjeta de crédito de marca compartida; y Apple Pay, un servicio de pago sin efectivo, así como con licencia de su propiedad intelectual. La compañía atiende a los consumidores y pequeñas y medianas empresas; y la educación, la empresa y los mercados gubernamentales. Distribuye aplicaciones de terceros para sus productos a través de la App Store. La compañía también vende sus productos a través de sus tiendas minoristas y en línea, y la fuerza de ventas directa; y portadores de redes celulares de terceros, mayoristas, minoristas y revendedores. Apple Inc. fue fundada en 1976 y tiene su sede en Cupertino, California.",22.29,50,8/8,149.58,207.75,99.72,"ROE > 10%,ROIC > 8%,FCF positivo,Dividendo > 2%,EPS futuro positivo,Contexto global favorable (+1)",
12,XLE,⭐⭐ (2/5 - Riesgoso),❌ Evitar,16.74,🔴 Bajo,default,ROJO,Contexto Global: MODERADO,,4,Yahoo Finance,19.08,95.71,81.99,,,,,Acción,,14.737919,1.5732514,,,,,,3.55,,,"Al tratar de rastrear el rendimiento del índice, el fondo emplea una estrategia de replicación. Generalmente invierte sustancialmente todos, pero al menos el 95%, de sus activos totales en los valores que comprenden el índice. El índice incluye compañías que han sido identificadas como compañías de energía por el GICS®, incluidos valores de empresas de las siguientes industrias: petróleo, gas y combustibles consumibles; y equipos y servicios de energía. No está diversificado.",22.29,400,2/8,,,,"P/E < 20,P/B < 3,Dividendo > 2%,Contexto global favorable (+1),Sin proyección por EPS negativo o datos inválidos",
